docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S0301010413004096-767	1	Quantity	256	262	1	∼2.5 g	{ "unit": "g"}
S0301010413004096-767	1	MeasuredEntity	225	254	2	sample of desolvated NOTT-300	{"HasQuantity":"1"}
S0301010413004096-767	2	Quantity	387	396	3	10−7 mbar	{ "unit": "mbar"}
S0301010413004096-767	2	MeasuredEntity	375	383	4	degassed	{"HasQuantity":"3"}
S0301010413004096-767	3	Quantity	401	407	5	120 °C	{ "unit": "°C"}
S0301010413004096-767	3	MeasuredEntity	375	383	6	degassed	{"HasQuantity":"5"}
S0301010413004096-767	4	Quantity	762	765	7	5 K	{ "unit": "K"}
S0301010413004096-767	4	MeasuredEntity	468	479	8	temperature	{"HasQuantity":"7"}
S0301010413004096-767	5	Quantity	654	661	9	40–50 K	{ "unit": "K"}
S0301010413004096-767	5	MeasuredEntity	468	479	10	temperature	{"HasQuantity":"9"}
S0301010413004096-767	6	Quantity	762	765	11	5 K	{ "unit": "K"}
S0301010413004096-767	6	MeasuredEntity	468	479	12	temperature	{"HasQuantity":"11"}
S0301010413004096-767	7	Quantity	615	620	13	99.5%	
S0301010413004096-767	9	Quantity	636	650	14	volumetrically	{ "unit": "volumetrically"}
S0301010413004096-767	9	MeasuredEntity	595	613	15	loading of para-H2	{"HasQuantity":"14"}
S0301010413004096-767	10	Quantity	654	661	16	40–50 K	{ "unit": "K"}
S0301010413004096-767	10	MeasuredEntity	468	479	17	temperature	{"HasQuantity":"16"}
S0301010413004096-767	11	Quantity	762	765	18	5 K	{ "unit": "K"}
S0301010413004096-767	11	MeasuredEntity	468	479	19	temperature	{"HasQuantity":"18"}
S0301010413004096-767	12	Quantity	211	219	20	∼1% ΔE/E	{ "unit": "%"}
S0301010413004096-767	12	MeasuredEntity	197	207	21	resolution	{"HasQuantity":"20"}
