docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S0960148113005727-1451	1	Quantity	48	71	1	gradual downwards slope	{ "unit": "%"}
S0960148113005727-1451	1	MeasuredEntity	79	129	2	bulk of weather-corrected load factor observations	{"HasQuantity":"1"}
S0960148113005727-1451	2	Quantity	135	170	3	isolated periods of very low output	{ "unit": "%"}
S0960148113005727-1451	2	MeasuredEntity	178	186	4	downtime	{"HasQuantity":"3"}
S0960148113005727-1451	3	Quantity	360	363	5	12%	{ "unit": "%"}
S0960148113005727-1451	3	MeasuredEntity	105	116	6	load factor	{"HasQuantity":"5"}
S0960148113005727-1451	4	Quantity	361	363	7	2%	{ "unit": "%"}
S0960148113005727-1451	4	MeasuredEntity	105	116	8	load factor	{"HasQuantity":"7"}
S0960148113005727-1451	5	Quantity	360	363	9	12%	{ "unit": "%"}
S0960148113005727-1451	5	MeasuredEntity	105	116	10	load factor	{"HasQuantity":"9"}
S0960148113005727-1451	6	Quantity	361	363	11	2%	{ "unit": "%"}
S0960148113005727-1451	6	MeasuredEntity	105	116	12	load factor	{"HasQuantity":"11"}
S0960148113005727-1451	7	Quantity	5	6	13	9	
S0960148113005727-1451	7	MeasuredEntity	450	458	14	turbines	{"HasQuantity":"13"}
S0960148113005727-1451	8	Quantity	360	361	15	1	
S0960148113005727-1451	8	MeasuredEntity	450	457	16	turbine	{"HasQuantity":"15"}
