docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S0378383913001567-6892	3	Quantity	15	19	1	40 m	{ "unit": "m"}
S0378383913001567-6892	3	MeasuredEntity	4	11	2	channel	{"HasQuantity":"1"}
S0378383913001567-6892	4	Quantity	29	33	3	90 m	{ "unit": "m"}
S0378383913001567-6892	4	MeasuredEntity	4	11	4	channel	{"HasQuantity":"3"}
S0378383913001567-6892	5	Quantity	110	112	5	5°	{ "unit": "°"}
S0378383913001567-6892	5	MeasuredProperty	100	107	6	angle β	{"HasQuantity":"5"}
S0378383913001567-6892	5	MeasuredEntity	60	77	7	wall constriction	{"HasProperty":"6"}
S0378383913001567-6892	6	Quantity	208	216	8	121 × 53	{ "unit": "× 53"}
S0378383913001567-6892	6	MeasuredEntity	217	241	9	regular curvilinear grid	{"HasQuantity":"8"}
S0378383913001567-6892	7	Quantity	293	314	10	highly distorted grid	{ "unit": "× 53"}
S0378383913001567-6892	7	MeasuredEntity	300	314	11	distorted grid	{"HasQuantity":"10"}
S0378383913001567-6892	8	Quantity	438	441	12	1 m	{ "unit": "m"}
S0378383913001567-6892	8	MeasuredProperty	422	433	13	water depth	{"HasQuantity":"12"}
S0378383913001567-6892	8	MeasuredEntity	1	2	14	h	{"HasProperty":"13"}
S0378383913001567-6892	9	Quantity	469	472	15	2.5	
