docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S0960148113005727-1466	1	Quantity	87	95	1	4.99 TWh	{ "unit": "TWh"}
S0960148113005727-1466	1	MeasuredEntity	4	52	2	cumulative lifetime output of a 100 MW wind farm	{"HasQuantity":"1"}
S0960148113005727-1466	2	Quantity	231	239	3	4.37 TWh	{ "unit": "TWh"}
S0960148113005727-1466	2	MeasuredEntity	15	52	4	lifetime output of a 100 MW wind farm	{"HasQuantity":"3"}
S0960148113005727-1466	3	Quantity	251	256	5	12.5%	
S0960148113005727-1466	5	Quantity	512	515	6	10%	{ "unit": "%"}
S0960148113005727-1466	5	MeasuredEntity	495	508	7	discount rate	{"HasQuantity":"6"}
S0960148113005727-1466	6	Quantity	599	602	8	£90	{ "unit": "£"}
S0960148113005727-1466	6	MeasuredEntity	543	572	9	levelised cost of electricity	{"HasQuantity":"8"}
S0960148113005727-1466	7	Quantity	612	615	10	£98	{ "unit": "£"}
S0960148113005727-1466	7	MeasuredEntity	543	572	11	levelised cost of electricity	{"HasQuantity":"10"}
