docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S0038071711004354-1644	1	Quantity	43	50	1	14.8 °C	{ "unit": "°C"}
S0038071711004354-1644	1	MeasuredProperty	16	39	2	mean annual temperature	{"HasQuantity":"1"}
S0038071711004354-1644	1	MeasuredEntity	7	11	3	site	{"HasProperty":"2"}
S0038071711004354-1644	2	Quantity	85	91	4	898 mm	{ "unit": "mm"}
S0038071711004354-1644	2	MeasuredProperty	56	81	5	mean annual precipitation	{"HasQuantity":"4"}
S0038071711004354-1644	2	MeasuredEntity	7	11	6	site	{"HasProperty":"5"}
S0038071711004354-1644	3	Quantity	301	307	7	2–5 cm	{ "unit": "cm"}
S0038071711004354-1644	3	MeasuredProperty	308	317	8	thickness	{"HasQuantity":"7"}
S0038071711004354-1644	3	MeasuredEntity	252	300	9	O horizon with fresh and decaying organic matter	{"HasProperty":"8"}
S0038071711004354-1644	4	Quantity	394	402	10	93% sand	{ "unit": "%"}
S0038071711004354-1644	4	MeasuredProperty	325	337	11	soil texture	{"HasQuantity":"10"}
S0038071711004354-1644	4	MeasuredEntity	345	376	12	uppermost 0.1 m of mineral soil	{"HasProperty":"11"}
S0038071711004354-1644	5	Quantity	404	411	13	4% clay	{ "unit": "%"}
S0038071711004354-1644	5	MeasuredProperty	325	337	14	soil texture	{"HasQuantity":"13"}
S0038071711004354-1644	5	MeasuredEntity	345	376	15	uppermost 0.1 m of mineral soil	{"HasProperty":"14"}
S0038071711004354-1644	6	Quantity	417	424	16	3% silt	{ "unit": "%"}
S0038071711004354-1644	6	MeasuredProperty	325	337	17	soil texture	{"HasQuantity":"16"}
S0038071711004354-1644	6	MeasuredEntity	345	376	18	uppermost 0.1 m of mineral soil	{"HasProperty":"17"}
